"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0065","haloacid dehalogenase (HAD) family hydrolase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00770","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0067","oligopeptidase A","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00790","oligopeptidase A",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0069","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00810","DNA repair photolyase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0072","TagS1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00850","TagS1",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0073","TagT1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00860","TagT1",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0074","serine/threonine protein kinase PpkA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00875","serine/threonine protein kinase PpkA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0076","TagF1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00900","TagF1",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0079","TssK1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00940","TssK1",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0082","TssA1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00990","TssA1",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0084","TssC1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01020","HsiC1",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0085","Hcp1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01030","Hcp1",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0087","TssE1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01060","TssE1",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0091","VgrG1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01110","VgrG1a",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0094","EagT6","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01150","EagT6",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0096","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01170","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0099","type VI effector protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01200","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0103","probable sulfate transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01250","sulfate transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0104","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01270","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0105","cytochrome c oxidase, subunit II","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01290","cytochrome c oxidase subunit II",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0107","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01310","cytochrome C oxidase assembly protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0109","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01330","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0110","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01340","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0111","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01350","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0114","SenC","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01390","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0118","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01440","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0119","probable dicarboxylate transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01460","C4-dicarboxylate transporter DctA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0124","ParE toxin","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01510","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0131","BauB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01610","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0141","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01730","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0142","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01750","hydroxydechloroatrazine ethylaminohydrolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0143","purine nucleosidase Nuh","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01760","nonspecific ribonucleoside hydrolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0145","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01790","nucleoside 2-deoxyribosyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0146","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01800","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0148","adenine deaminase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01830","adenosine deaminase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0156","Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01940","RND efflux membrane fusion protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0157","Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01960","RND efflux membrane fusion protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0158","Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter, TriC","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01970","RND efflux transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0160","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_01990","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0161","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02010","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0162","histidine porin OpdC","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02020","outer membrane porin",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0164","probable gamma-glutamyltranspeptidase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02050","gamma-glutamyltranspeptidase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0169","SiaD","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02110","diguanylate cyclase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0171","SiaB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02140","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0172","SiaA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02150","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0173","probable methylesterase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02180","chemotaxis-specific methylesterase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0174","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02190","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0179","probable two-component response regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02260","two-component response regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0180","chemotactic transducer for trichloroethylene [positive chemotaxis], CttP","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02270","chemotaxis transducer",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0181","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02290","LysR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0183","arylsulfatase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02310","arylsulfatase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0185","probable permease of ABC transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02340","ABC transporter permease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0186","probable binding protein component of ABC transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02360","ABC transporter substrate-binding protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0189","probable porin","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02370","porin",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0191","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02390","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0193","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02420","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0195.1","putative NAD(P) transhydrogenase, subunit alpha part 2","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02460","NAD(P) transhydrogenase subunit alpha part 2",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0197","TonB2","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02490","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0201","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02530","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0208","malonate decarboxylase alpha subunit","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02550","malonate decarboxylase subunit alpha",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0210","malonate decarboxylase delta subunit","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02570","malonate decarboxylase subunit delta",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0211","malonate decarboxylase beta subunit","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02580","malonate decarboxylase subunit beta",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0214","probable acyl transferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02620","epsilon subunit of malonate decarboxylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0215","malonate transporter MadL","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02630","malonate carrier protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0216","malonate transporter MadM","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02640","malonate transporter subunit MadM",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0217","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02650","malonate utilization transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0218","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02660","LysR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0219","probable aldehyde dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02680","aldehyde dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0223","ErgB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02730","dihydrodipicolinate synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0225","ErfA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02750","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0226","probable CoA transferase, subunit A","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02760","CoA transferase, subunit A",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0227","probable CoA transferase, subunit B","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02770","CoA transferase subunit B",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0228","beta-ketoadipyl CoA thiolase PcaF","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02790","beta-ketoadipyl CoA thiolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0229","dicarboxylic acid transporter PcaT","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02810","dicarboxylic acid transporter PcaT",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0230","3-carboxy-cis,cis-muconate cycloisomerase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02830","3-carboxy-cis,cis-muconate cycloisomerase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0231","beta-ketoadipate enol-lactone hydrolase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02840","beta-ketoadipate enol-lactone hydrolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0236","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02910","IclR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0237","probable oxidoreductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02930","oxidoreductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0238","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02960","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0239","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02970","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0241","probable major facilitator superfamily (MFS) transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_02990","MFS transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0245","3-dehydroquinate dehydratase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03030","3-dehydroquinate dehydratase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0246","probable major facilitator superfamily (MFS) transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03040","MFS transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0248","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03070","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0252","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03110","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0255","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03150","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0260","Type 6 lipase effector, Tle3","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03200","Type VI effector Tle3",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0263","secreted protein Hcp","PA1512 | secreted protein Hcp","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03240","secreted protein Hcp","PA14_69560 | secreted protein Hcp"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0263","secreted protein Hcp","PA5267 | secreted protein Hcp","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03240","secreted protein Hcp","PA14_69560 | secreted protein Hcp"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0264","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03420","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0265","glutaric semialdehyde dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03430","succinate-semialdehyde dehydrogenase I",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0271","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03520","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0272","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03530","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0273","probable major facilitator superfamily (MFS) transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03550","MFS transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0275","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03580","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0276","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03590","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0281","sulfate transport protein CysW","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03670","sulfate transport protein CysW",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0282","sulfate transport protein CysT","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03680","sulfate transport protein CysT",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0285","cyclic di-GMP phosphodiesterase, PipA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03720","sensory box GGDEF domain-containing protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0286","delta-9 fatty acid desaturase, DesA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03730","fatty acid desaturase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0287","3-guanidinopropionate transport protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03760","sodium:solute symporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0288","3-guanidinopropionase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03770","agmatinase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0289","transcriptional activator GpuR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03780","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0290","putative diguanylate cyclase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03790","sensory box GGDEF domain-containing protein",""
